rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	term_value_dce	deep_batch
1470	US-SAM:472740526b964e6b801454a2e21c5681	Cannelton Lock and Dam - culvert valve assemblies	DEPT OF DEFENSE	2026-09-07T15:00:00+00:00			LOW		===== FILE: files/RFP_W912QR-61396929.pdf ===== DEPARTMENT OF THE ARMY U.S. ARMY CORPS OF ENGINEERS, LOUISVILLE DISTRICT 220 WEST MAIN STREET LOUISVILLE KY 40202 Contracting Division 04 August 2026 A lltech Engineering Corp. G & G Steel, Inc. Hohl Industrial Services, Inc J.F Brennan Company, INC. …	Disclosure of magnitude of construction projects is between $5,000,000.00 and $10,000,000.00. The basis for award of this task order is lowest evaluated price. Offerors shall allow for Government acceptance of proposals for 60 calendar days from the date proposals are due. Any proposal that does no…	batch-146.json
1471	US-SAM:3a53943b32724e729fc11f2387d1a7a3	Country Club west Stoplog Rehabilitation	INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO	2026-09-10T23:00:00+00:00			LOW		OR ADJACENT TO THE PROJECT LIMITS. DWG. NO. G001 G002 CS105A S113A COVER SHEET SHEET INDEX, GENERAL NOTES, LEGEND AND SYMBOLS COUNTRY CLUB BRIDGE WEST JOINT REPAIR PLAN COUNTRY CLUB BRIDGE WEST JOINT REPAIR DETAIL DESCRIPTION INDEX OF SHEETS 3.1 FULL CLOSURE OF COUNTRY CLUB BRIDGE IS PREFERRED TO C…	barrier Existing approach slab S113A A S113A A Roadway centerline at abutment. Existing floodwall Approx. location of 4" fiber optic line Existing conc. slope paving Existing conc. wall Existing JBE Conc. Traffic Rail Conc. Traffic Rail 12" water line encased in steel pipe COUNTRY CLUB RD. Electric…	batch-147.json
1472	US-SAM:14dc83ad100149dbb71548640ea52d44	Mississippi River, Baton Rouge to Gulf of Mexico, Southwest Pass Hopper Dredge Contract Nos. 7-2025 (OM25007)	DEPT OF DEFENSE	2027-03-23T15:30:00+00:00			LOW		===== FILE: files/W912P825B0014.pdf ===== OM25007 IFB NO. W912P825B0014 US Army Corps of Engineers  New Orleans District Mississippi River, Baton Rouge to the Gulf Southwest Pass Hopper Dredge Contract No. 7-2025 (OM25007) Plaquemines Parish, Louisiana Construction Solicitation and Specifications …	nder these specifications shall be performed in accordance with the provisions of EM 385-1-1 "Safety and Occupational Health Requirements", latest edition. b. The Government may award the contract at the total bid price, comprised of the base items and option item(s); however, the Government will n…	batch-147.json
1473	CA:NB26SL01_87709	General Construction QRT Source List		2029-07-20T18:00:00+00:00		CAD	LOW		ntracts are exempt from the application of the Ineligibility and Suspension Policy. R efer to the policy for more details. 4. RESPONSIBILITIES OF DCC EMPLOYEES 4.1 DCC employees are committed to adhering to DCC’s Code of Business Conduct as well as the Treasury Board of Canada Secretariat’s Values …	===== FILE: files/Cost_Breakdown_Details_Progress_Claims_unpacked/[Content_Types].xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <Types xmlns="http://schemas.openxmlformats.org/package/2006/content-types"><Default Extension="rels" ContentType="application/vnd.openxmlformats-packa…	batch-147.json
1474	CA:AR26SLGB_86030	Open Construction Source List for 5 Wing Goose Bay		2029-03-31T13:00:00+00:00		CAD	LOW		ntracts are exempt from the application of the Ineligibility and Suspension Policy. R efer to the policy for more details. 4. RESPONSIBILITIES OF DCC EMPLOYEES 4.1 DCC employees are committed to adhering to DCC’s Code of Business Conduct as well as the Treasury Board of Canada Secretariat’s Values …	===== FILE: files/Cost_Breakdown_Details_Progress_Claims_unpacked/[Content_Types].xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <Types xmlns="http://schemas.openxmlformats.org/package/2006/content-types"><Default Extension="rels" ContentType="application/vnd.openxmlformats-packa…	batch-147.json
1475	CA:ED26SL02_CN86341	Underground Civil Contractors Source List for QRT - Edmonton		2029-05-06T16:00:00+00:00		CAD	LOW		ntracts are exempt from the application of the Ineligibility and Suspension Policy. R efer to the policy for more details. 4. RESPONSIBILITIES OF DCC EMPLOYEES 4.1 DCC employees are committed to adhering to DCC’s Code of Business Conduct as well as the Treasury Board of Canada Secretariat’s Values …	===== FILE: files/Cost_Breakdown_Details_Progress_Claims_unpacked/[Content_Types].xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <Types xmlns="http://schemas.openxmlformats.org/package/2006/content-types"><Default Extension="rels" ContentType="application/vnd.openxmlformats-packa…	batch-147.json
1476	US-SAM:dfdc42bab24041608272337692c70da9	Women's Center Reconfiguration to Conference Space B36000	DEPT OF DEFENSE	2026-08-31T16:00:00+00:00			LOW		rt Hood • Accident Investigation Report • Sample-Contractor Quality Control Report • Preparatory Phase Checklist • Initial Phase Checklist • Operation and Maintenance Training • Fort Hood DPW Building Equipment Inventory • Fort Hood Key SOP (Mechanical Keys and Electronic Keys) SECTION 2 – NETWORK …	ping and reviewing the project through negotiation of a firm fixed price with the Project Manager. The DE will serve as a technical liaison to the in clarifying work requirements, performance standards, and other technical requirements. Following contract award, the Design Engineer is accessible on…	batch-147.json
1477	US-SAM:3e6c10e564c84ba98c6e7a98029c61b6	U006--ENGINEERING SAFETY TRAINING	VETERANS AFFAIRS, DEPARTMENT OF	2026-09-10T18:00:00+00:00			LOW		led by the following individuals: a. CONTRACTOR: b. GOVERNMENT: Contracting Officer 36C261 Department of Veterans Affairs Network Contracting Office 21 2. CONTRACTOR REMITTANCE ADDRESS: All payments by the Government to the contractor will be made in accordance with: 3. INVOICES: Invoices shall be …	by reference (by Citation Number, Title, and Date), have the same force and effect as if they were given in full text. Upon request, the Contracting Officer will make their full text available. The following clauses are incorporated into 52.212-4 as an addendum to this contract: C.2 52.217-8 OPTION…	batch-147.json
1478	TED:576095-2026	Germany – Architectural, construction, engineering and inspection services – Planungsleistungen und Baubetreuung zur Umsetzung des neu strukturierten Grundwanderwegenetzes im Biosphärenreservat Pfälzerwald	Bezirksverband Pfalz	2026-09-11T23:59:59+02:00			LOW		terlagen ☐ Urkalkulation (die Urkalkulation wird für die Prüfung der Preise geöffnet, im Anschluss wieder ver- schlossen) ☐ ☐ ===== FILE: files/233_2C_20Verzeichnis_20der_20Unterauftragnehmer.pdf ===== 233 (Verzeichnis der Unterauftragnehmer) Vergabenummer 26 - 10 - BR Bieter Leistung Planungsleist…		batch-147.json
1479	US-SAM:b2df0b5e3a15467bafb15b016d13545d	CMR & DCMR POLICE SECURITY BOOTHS AND CMR PERIMETER WALL CONSTRUCTION.	STATE, DEPARTMENT OF	2026-09-12T08:00:00+00:00			LOW		l as prescribed under FAR 4.1102. Failure to be registered at time of proposal submission may deem the offeror’s proposal to be considered non-responsible and no further consideration will be given. Therefore, offerors are highly encouraged to register immediately if they are interested in submitti…	ECTION E - DELIVERIES AND PERFORMANCE 52.211-10 COMMENCEMENT, PROSECUTION, AND COMPLETION OF WORK (APR 1984) The Contractor shall be required to: (a) commence work under this contract within 5 calendar days after the date the Contractor receives the notice to proceed, (b) prosecute the work diligen…	batch-147.json
1480	TED:567824-2026	Germany – Sanitary fixture installation work – Sanitärarbeiten	Der Kreisausschuss, Hochbau- und Liegenschaftsamt	2026-08-28T23:59:59+02:00			LOW		Innenschale zur Reinigung herausnehmba, austauschbarer Bürstenkopf aus schwarzem Kunststoff, Gehäuse und Bürstenstange aus Edelstahl seidenmatt gebürstet, Materialstärke 1,5 mm, Vier-Punkt-Befestigung, inklusive Befestigungsmaterial, für Aufputzmontage Ausführung Edelstahl matt gebürstet Fabrikat d…	n Anteilen im Umfang von mehr als 50%, c) durch das Handeln der Bewerber/Bieter im Namen oder auf Anweisung von Personen oder Unternehmen, auf die die Kriterien der Buchstaben a und/oder b zutrifft. 2. Die am Auftrag als Unterauftragnehmer, Lieferanten oder Unternehmen, deren Kapazitäten im Zusamme…	batch-147.json
1481	TED:567623-2026	Romania – Construction supervision services – Servicii de Supervizare „Largire la 4 benzi a centurii rutiere a Municipiului Bucuresti Sud intre A1 (km 55+520) si DN 5 (km 40+000) – LOT II Largire la 4 benzi a centurii rutiere a Municipiului Bucuresti Sud intre	COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.	2026-09-07T15:00:00+03:00	17673600.0	RON	LOW			cu Golescu, nr. 38, sector 1; Localitate: Bucuresti; Cod Postal: 010873; Tara: Romania; Codul NUTS: RO321 Bucureşti; Adresa de e-mail: victor.stefan@andnet.ro; Nr de telefon: +40 212643299; Adresa web a sediului principal al autoritatii/entitatii contractante(URL) https://cnadnr.ro; Sistemul Electr…	batch-148.json
1482	TED:568216-2026	Germany – Construction work – Zusammenlegung Klinika JHD-Deichhorst und JHD-Mitte - Neubau Delme Klinikum Delmenhorst - Estricharbeiten	Delme Klinikum Delmenhorst GmbH	2026-09-01T10:00:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de Cologne Local Court HRB 19319 Managing directors Edda Peters, Christiane Schäffer A company of subreport Holding GmbH sub report (2) The provisions of these G…	upplemented with regard to individual services by sections B. to F. of these GTC and the supplementary General Terms and Conditions for the subreport ELViS electronic tender information system. Page 2 of the General Terms and Conditions of Business Status 25 May 2018 Verlag Schawe GmbH Buchforststr…	batch-148.json
1483	TED:568694-2026	Germany – Sanitary fixture installation work – Neubau Brandschutz- und Ausbildungszentrums (BAZ) am Standort Newel	Verbandsgemeindeverwaltung Trier-Land	2026-09-14T12:45:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de Cologne Local Court HRB 19319 Managing directors Edda Peters, Christiane Schäffer A company of subreport Holding GmbH sub report (2) The provisions of these G…	upplemented with regard to individual services by sections B. to F. of these GTC and the supplementary General Terms and Conditions for the subreport ELViS electronic tender information system. Page 2 of the General Terms and Conditions of Business Status 25 May 2018 Verlag Schawe GmbH Buchforststr…	batch-148.json
1484	TED:567459-2026	Germany – Heating, ventilation and air-conditioning installation work – Theodor-Heuss-Schule, Erweiterung als 3,5-zügige Grundschule mit Nachmittagsbetreuung - Heizung	Hanau Immobilien- und Baumanagement, Eigenbetrieb der Stadt Hanau	2026-09-22T11:00:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de Cologne Local Court HRB 19319 Managing directors Edda Peters, Christiane Schäffer A company of subreport Holding GmbH sub report (2) The provisions of these G…	upplemented with regard to individual services by sections B. to F. of these GTC and the supplementary General Terms and Conditions for the subreport ELViS electronic tender information system. Page 2 of the General Terms and Conditions of Business Status 25 May 2018 Verlag Schawe GmbH Buchforststr…	batch-148.json
1485	TED:567157-2026	Germany – Construction work – Aufstockung Parkhaus Johannes-Haag-Str. 7	Stadtwerke Augsburg Holding GmbH, Bau-Einkauf	2026-09-17T07:00:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de Cologne Local Court HRB 19319 Managing directors Edda Peters, Christiane Schäffer A company of subreport Holding GmbH sub report (2) The provisions of these G…	upplemented with regard to individual services by sections B. to F. of these GTC and the supplementary General Terms and Conditions for the subreport ELViS electronic tender information system. Page 2 of the General Terms and Conditions of Business Status 25 May 2018 Verlag Schawe GmbH Buchforststr…	batch-148.json
1486	ZA_ETENDERS_OCDS:ocds-9t57fa-164862-2026-08-07	CDC/363/26	Eastern Cape - Coega Development Cooperation	2026-09-15T12:00:00+00:00		ZAR	LOW		TION (PTY) LTD CONTRACT No. CDC/363/26 FOR CONSTRUCTION OF 1.1KM EXTENSION OF ALUMINA STREET IN ZONE 5 OF THE COEGA SEZ PROJECT DOCUMENT BOOK 2 of 2: PROJECT INFORMATION (NON-RETURNABLE) CLOSING DATE: 15 SEPTEMBER 2026 PREPARED FOR: COEGA DEVELOPMENT CORPORATION (PTY) LTD Corner Alcyon and Zibuko S…	===== FILE: files/CDC-363-26_Book 2.pdf ===== COEGA DEVELOPMENT CORPORATION (PTY) LTD CONTRACT No. CDC/363/26 FOR CONSTRUCTION OF 1.1KM EXTENSION OF ALUMINA STREET IN ZONE 5 OF THE COEGA SEZ PROJECT DOCUMENT BOOK 2 of 2: PROJECT INFORMATION (NON-RETURNABLE) CLOSING DATE: 15 SEPTEMBER 2026 PREPARED …	batch-148.json
1487	US-SAM:fa9ee71705c24c9285e2031c4bf37592	Guatemala - PMSC - Computer Room Air Conditioning Units	STATE, DEPARTMENT OF	2026-09-02T21:00:00+00:00			LOW		A CITY Boulevard Austriaco 11-51 Zona 16, ATTN: GSO GUATEMALA CITY GUATEMALA AMERICAN EMBASSY GUATEMALA CITY Boulevard Austriaco 11-51, Zona 16, ATTN: GSO - PROCUREMENT SECTION Guatemala GUATEMALA CODE FACILITY CODE 17a. CONTRACTOR/ OFFERER TELEPHONE NO. 18a. PAYMENT WILL BE MADE BY AMERICAN EMBASS…	shall include VAT on all Invoices submitted for payment. All prices shall be submitted in local currency Quetzales. 2. PRICING The rates below include all costs associated with providing preventive maintenance services in accordance with the attached scope of work, and the manufacturer’s warranty i…	batch-148.json
1488	US-SAM:e6c4912974f64abf88f5221b5eeaa3e4	J059--459-26-009 Modernize Outlying CBOC Building Automated Systems	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-28T17:00:00+00:00			LOW		===== FILE: files/36C26126R0040_2.docx ===== A.3 PRICE/COST SCHEDULE ITEM INFORMATION STATEMENT OF WORK (SOW) Modernization of Outlying CBOC Building Automation Systems (BAS) VAPIHCS – Guam CBOC and American Samoa CBOC 1. GENERAL INTENT The Contractor shall provide all labor, materials, equipment, …	comply with the cost accounting standards or contract cost principles for this purpose. This paragraph does not give the Government any right to audit the Contractor’s records. The Contractor shall not be paid for any work performed or costs incurred which reasonably could have been avoided. (m) Te…	batch-148.json
1489	US-SAM:0deafb21e8044b27935f502596e370cf	Railroad and Fencing Repairs at Gate #4	DEPT OF DEFENSE	2026-09-08T15:00:00+00:00			LOW		LISS N .. “” “” “” ” DPWFORT BLISS DPWFORT BLISS DPWFORT BLISS DPWFORT BLISS DPWFORT BLISS DHVLJQ DQG &RQVWUXFWLRQDLUHFWRUDWH RI PXEOLFPURMHFW 1DPH;;;;;;;;;;;;;;;;;;;;;;;;;;;; &RQWUDFWRU &RQWDFW&RQWUDFW W S*;;D;;IQIRUPDWLRQTO W S*;;F;;;SXSHULQWHQGHQW P0 4$ 0DQDJHUU.S.ARMY SXSHUYLVHG E\ SHUY…	j. Number of personnel working. k. Weather conditions. 2.9.7. Notification of Nonconformance . The KO will notify the Contractor of any detected noncompliance with the foregoing requirements. Take immediate corrective action after receipt of such notice. Such notice, when delivered to the Contracto…	batch-148.json
1490	US-SAM:3aad5a1ebc8849a1bcf415aaede6227f	Y--2026 MARCOTT COULEE PIPELINE	INTERIOR, DEPARTMENT OF THE	2026-09-10T19:00:00+00:00			LOW		===== FILE: files/Attachment_10_-_Price_Schedule.xlsx ===== [SHEET Table 1] | Price Schedule | | | | | | | Project Description | | | | | | | Marcott Coulee Pipeline | | | | | | | REQUIREMENT | | | | | | | Line Item No. | Pay Item Number | Pay Item Description | Unit | Quantity | Unit Cost | Total C…	0 | 6 | 02665(20.2) | 2” STOCK TANK DRAIN LINE | LF | 1200 | 0 | 0 | 7 | 02229(2) | TRENCH and BACKFILL 6’ DEPTH | LF | 53233 | 0 | 0 | 8 | 02665(20.1) | 2"Ø HDPE DR11 PIPE | EA | 53233 | 0 | 0 | 9 | 02665(72.1) | 2"Ø CURB STOP w/ CURB BOXES | EA | 6 | 0 | 0 | 10 | 02665(74) | AIR RELIEF VALVE ASSE…	batch-148.json
1491	US-SAM:0f77c9e698364bb9a0f654a3fbaac74f	Bitterroot Front 10 Year G-Z IRSC	AGRICULTURE, DEPARTMENT OF	2026-09-30T00:00:00+00:00			LOW		FOR INFORMATIONAL PURPOSES ONLY – NOT OPEN FOR PROPOSALS Page 2 of 49 1. GENERAL INFORMATION: The Government does not intend to award a contract on the basis of this RFI or otherwise pay for information requested; Responses will be treated as information only and not as a proposal. All Offerors mus…	es. Sections 56 through 60 only apply to road reconstruction work 56. MAGNITUDE OF CONSTRUCTION PROJECT For Road Reconstruction work requirements, the total estimated price magnitude is between $1,000,000 and $2,000,000 57. AGAR 452.211-73 VARIATION IN ESTIMATED QUANTIITY (SEP 2025) If the actual q…	batch-149.json
1492	US-SAM:e972bc87a2124e008b739cee49e3797d	MOF Elk Lick Dam Decommissioning & Restoration	AGRICULTURE, DEPARTMENT OF	2026-08-28T21:00:00+00:00			LOW		DETAILS Project Magnitude: Between $1,000,000 and $5,000,000 Project Location: Elk Lick Dam, Monongahela National Forest Set Aside: Total Small Business Wage Determination: DBAWD_WV20260061 Forest Service Contacts: Contracting Officer: Matthew (Matt) Killian; matthew.killian@usda.gov COR: Zoey Fox;…	or certifies that: (1) It is compliant with all applicable Federal anti-discrimination laws and the Equal Protection principles of the U.S. Constitution, and it will remain compliant for the duration of the contract. (2) Neither it nor any subcontractor or teaming partner operates or funds any prog…	batch-149.json
1493	US-SAM:765013b4a9b34d528c5171c85cb66945	CATM Ventilation Cleaning	DEPT OF DEFENSE	2026-09-03T19:00:00+00:00			LOW		aused by contractor personnel or equipment. 1.2.2. Work Area Maintenance and Signage • The contractor must maintain active work areas in a neat, clean, and safe condition. • The contractor must provide, install, and remove temporary caution signs, barrier tape, and pedestrian controls to isolate th…	Layout_-CATM_Ventilation_Cleaning_at_Bldg._950.pptx ===== [SLIDE 1] JBSA-LACKLAND AFB BLDG 950, LAYOUT 212A 212B 207A 207B 201A 201B 213 203 204 103 102 The Great Hall MR FR MR FR Breakroom A B C D E B A C D E Key Off-limits areas Hallway register/returns Clean register/returns Male Restroom MR Fem…	batch-149.json
1494	US-SAM:5bcece38a1a94005be3609cca96afaf4	Replace HVAC Units, USCG Station Hatteras Inlet, NC	HOMELAND SECURITY, DEPARTMENT OF	2026-08-28T00:00:00+00:00			LOW		===== FILE: files/Clauses_and_Provisions_STA_Hatteras.pdf ===== 1 CONTRACT CLAUSES FAR 52.212-4 CONTRACT TERMS AND CONDITIONS—COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (AUG 2025) (DEVIATION 25-21) (a) Definitions. The clause at Federal Acquisition Regulation (FAR) 52.202-1, Definitions, is incorp…	interest of national security or economic efficiency. (End of clause) HSAR 3052.223-90 ACCIDENT AND FIRE REPORTING (USCG) (DEC 2003) (a) The Contractor shall report to the Contracting Officer any accident or fire occurring at the site of the work that causes: (1) A fatality or the loss of at least …	batch-149.json
1495	TED:79833-2026	Belgium – Technical inspection services – Kwalificatie Eerste Indienststellingen gas	Fluvius System Operator cv (Speciale Sectoren)				LOW		dige of technisch onbruikbare versie toe dan behoud de aanbesteder zich het recht uw kandidatuur te weigeren! Vergeet uw ingediende kandidatuur ook niet digitaal te ondertekenen in e-Procurement (o.b.v. het zogenaamde indieningsrapport). Door het digitaal ondertekenen van dit indieningsrapport onde…	uw ingediende kandidatuur ook niet digitaal te ondertekenen in e-Procurement (o.b.v. het zogenaamde indieningsrapport). Door het digitaal ondertekenen van dit indieningsrapport ondertekent u ook rechtsgeldig uw ingediende UEA. U hoeft bijgevolg de ingediende pdf-versie niet fysiek te ondertekenen. …	batch-149.json
1496	TED:741331-2024	Belgium – Hotel, restaurant and retail trade services – Cahier des charges relatif à l’octroi, en sous-concession, d’emplacements destinés à l’installation et à l’exploitation en full service de distributeurs automatiques de boissons froides	Brussels South Charleroi Airport SA		6667528.0	EUR	LOW		| | | | | | | | | | | | | 2. Redevance | | | | | | | | | | | | | | | | | | | | | | | | % sur CA HTVA | | | | | | | | | | | | | | | | | | Taux de redevance (en%) - ZONE PUBLIQUE | | | | | | | | | | | | | | | | | | | | | | | | % sur CA HTVA | | | | | | | | | | | | | | | | | | Taux de redevance (en%) …	............................................................................................................................................ 19 Article 24. Montants dus par le Sous-concessionnaire à l’entité adjudicatrice ...................................................... 19 3 Article 25. Modal…	batch-149.json
1497	TED:576316-2026	Poland – Computer equipment and supplies – Zakup i dostawa infrastruktury informatycznej w ramach projektu „Rozwój e-usług w Powiecie Pszczyńskim” – Etap II - postępowanie powtórzone.	Powiat Pszczyński	2026-09-09T02:00:00+00:00			LOW		dokumentację. Wykonawca oficjalnie wyraża zgodę na to, aby instytucja zamawiająca lub podmiot zamawiający określone w części I uzyskał(-a)(-o) dostęp do dokumentów potwierdzających informacje, które zostały przedstawione w części III i IV niniejszego jednolitego europejskiego dokumentu zamówienia n…	ści I uzyskał(-a)(-o) dostęp do dokumentów potwierdzających informacje, które zostały przedstawione w części III i IV niniejszego jednolitego europejskiego dokumentu zamówienia na potrzeby postępowanie o udzielenie zamówienia określonego w części I. Data, miejscowość oraz – jeżeli jest to wymagane …	batch-149.json
1498	TED:576144-2026	Germany – Training aids and devices – Erstausstattung für Fachbereiche Biologie, Chemie und Physik der SEK I und II des Gymnasium Kaulsdorf - 10Y12 - Erich-Kästner-Straße 52, 12619 Berlin	Bezirksamt Marzahn-Hellersdorf von Berlin	2026-08-27T10:00:00+02:00			LOW		vorheriger Rüge deutet alles auf einen Anbieter hin. Wir bitten Sie hiermit die Leistungsverzeichnisse zu aktualisieren, damit anderen Anbietern auch eine Teilnahme an diesem Wettbewerb ermöglicht wird. Mit freundlichen Grüßen« Antwort: Betreff:»AW: LOS Chemie und Biologie« Inhalt: » Sehr geehrte D…	d abweichend von o.g. Anforderung mit dem Teilnahmeantrag/Angebot abzugeben. III. Wirtschaftliche und finanzielle Leistungsfähigkeit 1. Angaben zur Berufshaftpflichtversicherung / Betriebshaftpflicht Ich/Wir habe(n) derzeit eine Berufshaftpflichtversicherung/Betriebshaftpflicht mit einer Deckungssu…	batch-149.json
1499	TED:576294-2026	Germany – Plasterboard works – Feuerwehrtechnische Zentrale Ebergötzen, Neubau - VE 312 Trockenbauarbeiten	Landkreis Göttingen	2026-09-17T23:59:59+02:00			LOW		L.: 2,50 m RU: 16,16 m 00.A.27 Dusche H 3,24 m2 B: Fliesen D: abgeh. GK-Decke, nass RH i.L.: 2,50 m RU: 8,49 m 00.A.23.b WC H 9,38 m2 B: Fliesen D: abgeh. GK-Decke, feucht RH i.L.: 2,50 m RU: 12,33 m 00.A.23.a Vorr. WC H 6,16 m2 B: Fliesen D: abgeh. GK-Decke, feucht RH i.L.: 2,50 m RU: 10,00 m 00.A…	are Halten von Anteilen im Umfang von mehr als 50%, durch das Handeln der Bewerber/Bieter im Namen oder auf Anweisung von Personen oder Unternehmen, auf die die Kriterien der Buchstaben a und/oder b zutrifft. 2. Die am Auftrag als Unterauftragnehmer, Lieferanten oder Unternehmen, deren Kapazitäten …	batch-149.json
1500	MT-EPPS:13735389	PROVISION OF OVERALL SET UP MNARJA 2026 LIVESTOCK COMPETITON AREA AND INDUSTRIAL FANS				EUR	LOW		" pos="2" sequence="1" isWeighted="false" extraInfo=""> <section id="1678192179186" level="1" pos="1"> <label><![CDATA[Technical Offer]]></label> <criterion level="2" pos="1" id="1678192200831" mandatory="1" included-in-evaluation="1" type="file"> <label><![CDATA[Please upload Public Liability Insu…	LIVESTOCK COMPETITON AREA AND INDUSTRIAL FANS 5.1.1 Purpose Main nature of the contract: Services Main classification (cpv): 79952000 Event services Additional classification (cpv): 79952100 Cultural event organisation services Additional classification (cpv): 79953000 Festival organisation service…	batch-149.json
1501	TED:567261-2026	France – Safety equipment – 25046_DSD_ Location équipements contrôle d'identités	1-MMA	2026-09-11T00:00:00+02:00			LOW		2 DOCUMENTS CONTRACTUELS ................................ ................................ ................................ ................5 3 INTERLOCUTEURS ................................ ................................ ................................ ................................ ..6 3.1 …	===== FILE: files/25046_DSD_ DCE publi__unpacked/25046_DSD_ DCE publie/25046 AE_ Location equipements controle identites_unpacked/[Content_Types].xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <Types xmlns="http://schemas.openxmlformats.org/package/2006/content-types"><Default Ex…	batch-150.json
1502	TED:567035-2026	Estonia – Engineering services – Tallinna valgustuspunktipõhise juhtimissüsteemi soetamine ja paigaldus	Tallinna Keskkonna- ja Kommunaalamet	2026-08-31T12:00:00+03:00	10020000.0	EUR	LOW		===== FILE: files/files_unpacked/305174_ESPD_v2.0_laiendatud.xml ===== <?xml version="1.0" encoding="UTF-8"?> <QualificationApplicationRequest xmlns:ext="urn:oasis:names:specification:ubl:schema:xsd:CommonExtensionComponents-2" xmlns="urn:oasis:names:specification:ubl:schema:xsd:QualificationApplic…	===== FILE: files/files_unpacked/305174_ESPD_v2.0_laiendatud.xml ===== <?xml version="1.0" encoding="UTF-8"?> <QualificationApplicationRequest xmlns:ext="urn:oasis:names:specification:ubl:schema:xsd:CommonExtensionComponents-2" xmlns="urn:oasis:names:specification:ubl:schema:xsd:QualificationApplic…	batch-150.json
1503	US-SAM:4e2a3a9bc9654da0bacd533b59cade97	HI-JAMES CAMPBELL NWR-2026 UTV	INTERIOR, DEPARTMENT OF THE	2026-08-28T21:00:00+00:00			LOW		RTANT: This is a request for information and quotations furnished are not offers. If you are unable to quote, please so indicate on this form and return it to the address in Block 5a. This request does not commit the Government to pay any costs incurred in the preparation of the submission of this …		batch-150.json
1504	US-SAM:3d508c0f37a7445483b16f52d76999bb	Joint Targeting Toolbox (JTT) Capabilities Package (CP) Continued Sustainment	DEPT OF DEFENSE	2026-09-07T21:00:00+00:00			LOW		===== FILE: files/JTT-CP_RFI_06_Aug_2026.pdf ===== 1 of 8 Request for Information (RFI) Joint Targeting Toolbox (JTT) Capabilities Package (CP) Continued Sustainment THIS NOTICE IS NOT A REQUEST FOR PROPOSAL. This notice is for information and planning purposes only. In accordance with Part 10 of t…	SOAP and REST API’s that require a unique software coding skillset. The contractor must also have the facilities available to host UNCLASSIFIED, Controlled Unclassified Information (CUI), SECRET, and TOP SECRET classified information with 24/7 on-demand access within a virtualized environment. The …	batch-150.json
1505	US-SAM:f2d8c8317dfa437583d53e858f8b9de2	Grid Research Integration and Deployment Center Technology Collaborations for US Power Electronics Industries	ENERGY, DEPARTMENT OF	2029-08-02T16:00:00+00:00			LOW		formation and other forms of comparable property rights protected by Federal law and other foreign counterparts. I. “Background Intellectual Property” means the Contractor’s Intellectual Property identified by the Contractor in Appendix B, Background Intellectual Property, which was in existence pr…	rmation and intellectual property generated and made during the collaboration. More specifically, each party owns its own inventions while jointly developed inventions will be jointly owned. In all cases, U.S. Government will retain government use rights. CRADA durations are expected to be at least…	batch-150.json
1506	US-SAM:979189ed770244299354a86ea6ed95ce	Grid Research Innovation and Development Center Technology Collaborations for US Power Electronics Industries	ENERGY, DEPARTMENT OF	2029-08-02T16:00:00+00:00			LOW		formation and other forms of comparable property rights protected by Federal law and other foreign counterparts. I. “Background Intellectual Property” means the Contractor’s Intellectual Property identified by the Contractor in Appendix B, Background Intellectual Property, which was in existence pr…	rmation and intellectual property generated and made during the collaboration. More specifically, each party owns its own inventions while jointly developed inventions will be jointly owned. In all cases, U.S. Government will retain government use rights. CRADA durations are expected to be at least…	batch-150.json
